canonical_keyword_x,TimePeriod,Search Volume,Impressions_SEO,Paid_Clicks,Paid_Impressions,Paid_CTR,Paid_Cost,Organic_Score,Paid_Score,Business_Label_Final
emergency response guide book,2,20,4,27,656,4.115853658536586,41.69,0.46408955364523,0.5845403163996667,Weak moderate – deprioritize but monitor
emergency response guidebook,2,5630,518,380,8910,4.264870931537598,578.81,0.821183433725111,0.7281618612861207,Strong in both → cut/reduce paid
how to ship a car battery,2,30,0,16,410,3.902439024390244,86.44,0.4383136930278433,0.5551882523013283,Weak moderate – deprioritize but monitor
hazardous waste label,2,2320,130,46,1465,3.1399317406143346,162.83,0.7296572823010594,0.6069373359776746,"Strong in organic, not paid → invest in paid"
dangerous good declaration software,2,140,35,0,44,0.0,0.0,0.6099710777543673,0.3184542728225911,Weak moderate – deprioritize but monitor
oxidizer placard,2,210,18,2,78,2.564102564102564,2.51,0.6137289229111583,0.4428542549757396,Weak moderate – deprioritize but monitor
dangerous good training online,2,50,10,2,57,3.508771929824561,13.89,0.44038617068802344,0.4493779786936756,Weak very low – drop or archive
overpack label,2,210,23,8,399,2.0050125313283207,33.58,0.6232730791713003,0.5058956800426837,"Strong in organic, not paid → invest in paid"
oxidizer label,2,140,3,7,174,4.022988505747127,28.98,0.5377490060054549,0.5129058774380915,Weak moderate – deprioritize but monitor
packaging for large lithium battery,2,0,0,15,375,4.0,65.32000000000001,0.3333333333333333,0.552399048668615,Weak very low – drop or archive
cargo container seal,2,10,8,4,92,4.3478260869565215,9.85,0.4858789612413436,0.4868795715324121,Weak moderate – deprioritize but monitor
high security seal,2,50,9,1,183,0.546448087431694,0.8,0.4388315274086185,0.40121420802743574,Weak very low – drop or archive
hazmat online training,2,450,23,46,2169,2.120792992162287,247.03,0.6184249028047389,0.5993756302324194,"Strong in organic, not paid → invest in paid"
placard,2,54370,3494,1215,17242,7.046746317132584,5708.89,0.9941520467824562,0.7866104249499084,Strong in both → cut/reduce paid
warehouse label,2,390,64,39,1135,3.4361233480176208,150.31,0.6547650376703665,0.5999668666019758,"Strong in organic, not paid → invest in paid"
flammable placard,2,1620,86,80,1475,5.423728813559322,321.28000000000003,0.7371671597267723,0.6496685855916324,"Strong in organic, not paid → invest in paid"
flammable gas label,2,10,1,23,694,3.314121037463977,94.92,0.4103959406120476,0.5708506119630439,Weak moderate – deprioritize but monitor
flammable label,2,640,40,2,146,1.36986301369863,1.44,0.6703489358501217,0.43362477079409156,"Strong in organic, not paid → invest in paid"
iata book,2,110,18,291,2739,10.624315443592552,2220.6,0.5835660117166969,0.7341881451538859,"Strong in paid, not organic → invest in organic"
organic peroxide label,2,20,2,2,21,9.523809523809524,8.27,0.45023770692354503,0.4766677365315391,Weak moderate – deprioritize but monitor
online hazardous material training,2,20,5,0,68,0.0,0.0,0.43294167032386305,0.3292592310155513,Weak very low – drop or archive
dangerous good software,2,20,10,103,5201,1.980388386848683,199.28,0.5208627802196898,0.6423102517029051,Weak near thresholds – small optimizations
bolt seal,2,880,4,11,981,1.1213047910295617,36.43,0.2835822600826733,0.5158381448541384,Weak very low – drop or archive
bolt security seal,2,60,15,38,1061,3.581526861451461,236.46,0.48982263625789085,0.5992677142547846,Weak near thresholds – small optimizations
dangerous good training,2,210,31,69,2042,3.3790401567091086,397.87,0.5592366367641468,0.6299595804468948,Weak near thresholds – small optimizations
waste label,2,140,14,36,1341,2.684563758389262,49.33,0.588239559078925,0.5907820885427054,Weak near thresholds – small optimizations
how to ship large lithium battery,2,30,0,216,1568,13.77551020408163,1144.58,0.4383136930278433,0.7291050366348293,"Strong in paid, not organic → invest in organic"
