canonical_keyword_x,TimePeriod,Search Volume,Impressions_SEO,Paid_Clicks,Paid_Impressions,Paid_CTR,Paid_Cost,Organic_Score,Paid_Score,Business_Label_Final
emergency response guidebook,2,5630,518,380,8910,4.264870931537598,578.81,0.821183433725111,0.7281618612861207,Strong in both → cut/reduce paid
placard,2,54370,3494,1215,17242,7.046746317132584,5708.89,0.9941520467824562,0.7866104249499084,Strong in both → cut/reduce paid
hazmat label,2,2600,142,755,10001,7.549245075492451,2911.86,0.771807734713751,0.7740889607305605,Strong in both → cut/reduce paid
dot placard,2,3200,179,530,10633,4.984482272171541,1965.37,0.7852151477243274,0.7464024137386989,Strong in both → cut/reduce paid
hazard placard,2,13200,41,186,4964,3.7469782433521353,266.58,0.7655655909598583,0.6867744222060708,Strong in both → cut/reduce paid
label master,2,8940,299,3643,10297,35.37923667087502,4252.72,0.8351473856622147,0.9049256682197454,Strong in both → cut/reduce paid
hazard label,2,5240,218,642,9250,6.940540540540541,1548.97,0.7890020193672916,0.7670534799165558,Strong in both → cut/reduce paid
un placard,2,260,33,152,3080,4.935064935064935,622.95,0.6369866336589672,0.6814961854801129,Strong in both → cut/reduce paid
labelmaster,2,8800,563,359,1456,24.65659340659341,626.63,0.8663029910893854,0.7773313962217238,Strong in both → cut/reduce paid
hazard class 2,2,9410,110,191,3549,5.381797689489997,330.84,0.7528193206039352,0.6969917101021059,Strong in both → cut/reduce paid
limited quantity label,2,4190,204,111,1880,5.904255319148937,456.87,0.7997690243252249,0.6694554138846259,Strong in both → cut/reduce paid
hazard label,3,4640,184,804,11169,7.1984958366908405,2123.21,0.7906730665988654,0.778719181506511,Strong in both → cut/reduce paid
hazard class 2,3,9150,71,246,4320,5.694444444444445,307.04,0.734980265321048,0.7124032437400261,Strong in both → cut/reduce paid
dot placard,3,3200,129,570,14613,3.90063641962636,2253.81,0.7754290361114723,0.7434998354252152,Strong in both → cut/reduce paid
hazardous material placard,3,2910,34,184,8795,2.092097782831154,853.63,0.7095607165036735,0.6731955954398683,Strong in both → cut/reduce paid
labelmaster,3,8800,496,347,1679,20.66706372840977,775.76,0.8611363917809737,0.769208691029125,Strong in both → cut/reduce paid
label master,3,8910,274,4083,11154,36.60570199031737,4257.6900000000005,0.8361682167222031,0.9123282597711394,Strong in both → cut/reduce paid
dgr iata,3,260,37,206,7297,2.823077977250925,929.58,0.6204780404245714,0.6845635520125275,Strong in both → cut/reduce paid
emergency response guidebook,3,4760,412,617,14114,4.371545982712201,1000.18,0.8190000213511127,0.7542177619972357,Strong in both → cut/reduce paid
iata dangerous good regulation,3,320,22,406,2953,13.748730104977987,2001.31,0.6185719288188095,0.7611398507387238,Strong in both → cut/reduce paid
hazmat label,3,2600,169,793,11701,6.777198530040167,3250.24,0.7777040397055295,0.7725610236523175,Strong in both → cut/reduce paid
erg book,3,1000,43,134,1707,7.850029291154072,258.35,0.6710707495579392,0.68822359799465,Strong in both → cut/reduce paid
placard,3,54370,2418,988,15301,6.457094307561598,5632.5,0.9826273119227956,0.7732165094272517,Strong in both → cut/reduce paid
hazardous material placard,4,2910,53,139,2601,5.344098423683199,711.03,0.7278613786930075,0.6784343034425482,Strong in both → cut/reduce paid
hazard class 2,4,7850,93,378,7582,4.985491954629386,616.39,0.7411890210407303,0.7316650679799976,Strong in both → cut/reduce paid
emergency response guidebook,4,3810,156,689,20249,3.40263716726752,1184.44,0.7600819858466794,0.7539476094527839,Strong in both → cut/reduce paid
hazmat training,4,3650,63,180,5825,3.0901287553648067,667.26,0.6791538376396988,0.6797179892957983,Strong in both → cut/reduce paid
dot label,4,590,75,162,5621,2.882049457391923,446.46,0.6878166557017988,0.6730998512947293,Strong in both → cut/reduce paid
placard,4,54340,1055,1179,18396,6.409001956947162,6937.93,0.937051843787978,0.7750199545742948,Strong in both → cut/reduce paid
dot placard,4,2600,142,548,12706,4.312923028490477,2687.9300000000003,0.7729773253558561,0.7423478758295605,Strong in both → cut/reduce paid
hazard label,4,4640,270,965,18749,5.146941170195744,2300.29,0.7948661933483535,0.7790697834366315,Strong in both → cut/reduce paid
hazmat label,4,2000,109,1229,19461,6.315194491547197,5540.620000000001,0.7519022452491045,0.78504761014351,Strong in both → cut/reduce paid
shipping large lithium battery,4,3250,131,166,2407,6.896551724137931,510.88,0.7636611112148654,0.6955957814897902,Strong in both → cut/reduce paid
erg book,4,590,49,185,2896,6.388121546961326,385.16,0.6601842490820037,0.6997191476834632,Strong in both → cut/reduce paid
labelmaster,4,7200,519,397,1899,20.905739863085834,768.77,0.8568506595540512,0.7769837039663251,Strong in both → cut/reduce paid
label master,4,7310,236,4414,12793,34.50324396154147,4420.299999999999,0.8217033698440432,0.913918980860716,Strong in both → cut/reduce paid
dangerous good label,4,430,50,133,2410,5.518672199170124,424.66,0.6653768567687401,0.677614741155088,Strong in both → cut/reduce paid
hazard class 2,5,9250,56,153,3649,4.192929569745136,331.17,0.7194525800213617,0.6785669418211433,Strong in both → cut/reduce paid
erg book,5,590,62,181,2851,6.348649596632761,372.43,0.6626085980098603,0.6983848217260911,Strong in both → cut/reduce paid
labelmaster,5,8800,561,419,1581,26.5022137887413,876.3700000000001,0.8661578604359214,0.7875585946262411,Strong in both → cut/reduce paid
haz mat label,5,1300,6,352,6906,5.09701708659137,869.03,0.6285443336816443,0.7276574142838816,Strong in both → cut/reduce paid
dot placard,5,3200,150,746,15095,4.942033786021861,3053.91,0.7815467694637004,0.7614323588429148,Strong in both → cut/reduce paid
emergency response guidebook,5,3930,216,791,17250,4.585507246376812,1408.9299999999998,0.7742522910106291,0.7678873112432036,Strong in both → cut/reduce paid
hazard label,5,5560,156,1502,30777,4.88026773239757,4081.71,0.7649357771879984,0.7957251269409733,Strong in both → cut/reduce paid
placard,5,54370,2961,1409,21472,6.562034277198212,7727.92,0.9663393195260134,0.7794423410537266,Strong in both → cut/reduce paid
flammable placard,5,1310,99,150,5303,2.828587591929097,773.66,0.7328590494381994,0.6676591276603893,Strong in both → cut/reduce paid
un placard,5,220,50,141,2908,4.84869325997249,323.06,0.6519746544340931,0.6777134256389232,Strong in both → cut/reduce paid
hazmat label,5,2600,119,1868,27193,6.869414922958114,7821.089999999999,0.7658134171099052,0.7953881944409612,Strong in both → cut/reduce paid
shipping large lithium battery,5,3090,111,362,4144,8.735521235521237,1498.99,0.7524818033442401,0.7424183251753023,Strong in both → cut/reduce paid
dgr iata,5,260,25,212,6547,3.2381243317550026,958.08,0.6190093695842749,0.6888877863765649,Strong in both → cut/reduce paid
hazardous material placard,5,2910,40,232,3962,5.85562847046946,1074.09,0.7160248373514667,0.7079171948335744,Strong in both → cut/reduce paid
label master,5,8910,281,4629,13564,34.127101150103215,4970.43,0.8360255370603773,0.9137631867891968,Strong in both → cut/reduce paid
dot hazmat label,5,390,25,92,1261,7.295796986518637,241.49,0.6231786330955961,0.6656271407638655,Strong in both → cut/reduce paid
dangerous good label,5,430,49,173,2428,7.125205930807249,508.46,0.6704157887775714,0.6987815741147954,Strong in both → cut/reduce paid
flammable placard,6,1260,74,162,2708,5.982274741506647,826.6,0.7213207697946183,0.6895064801987658,Strong in both → cut/reduce paid
hazmat placard,6,16250,200,132,2478,5.326876513317192,484.58,0.789391737619594,0.6761170291339649,Strong in both → cut/reduce paid
erg book,6,720,45,185,1885,9.814323607427056,427.88,0.6803998347450447,0.7120346754796325,Strong in both → cut/reduce paid
hazmat training,6,3720,54,145,4368,3.31959706959707,564.85,0.6563889703431374,0.6696809348723797,Strong in both → cut/reduce paid
