canonical_keyword_x,TimePeriod,Search Volume,Impressions_SEO,Paid_Clicks,Paid_Impressions,Paid_CTR,Paid_Cost,Organic_Score,Paid_Score,Business_Label_Final
iata book,2,110,18,291,2739,10.624315443592552,2220.6,0.5835660117166969,0.7341881451538859,"Strong in paid, not organic → invest in organic"
how to ship large lithium battery,2,30,0,216,1568,13.77551020408163,1144.58,0.4383136930278433,0.7291050366348293,"Strong in paid, not organic → invest in organic"
dg software,2,10,2,155,3399,4.560164754339511,465.17,0.4480135394019751,0.6809861120104137,"Strong in paid, not organic → invest in organic"
labelmastercom,2,90,5,184,541,34.011090573012936,290.75,0.540926928632203,0.7524726149384562,"Strong in paid, not organic → invest in organic"
49 cfr book,2,140,11,264,2343,11.267605633802818,1171.15,0.5721056559149988,0.7337344761912243,"Strong in paid, not organic → invest in organic"
iata dgr 2022,2,0,0,708,5398,13.115968877361986,4603.4400000000005,0.3333333333333333,0.7808211391243004,"Strong in paid, not organic → invest in organic"
labelmaster placard,2,40,6,3555,7759,45.817760020621215,4767.110000000001,0.5228507772189684,0.9102875349031394,"Strong in paid, not organic → invest in organic"
iata dangerous good regulation,2,390,9,321,2318,13.848144952545296,1628.6,0.5853115336746603,0.749599150017132,"Strong in paid, not organic → invest in organic"
hazard class 9 placard,2,230,20,146,1533,9.523809523809524,573.62,0.6118143214857666,0.6978017110666366,"Strong in paid, not organic → invest in organic"
labelmaster placard,3,40,7,2761,6332,43.60391661402401,3485.58,0.528306100244869,0.8998236686589559,"Strong in paid, not organic → invest in organic"
labelmastercom,3,70,4,215,605,35.53719008264463,412.31000000000006,0.5258912258355822,0.7621787596342093,"Strong in paid, not organic → invest in organic"
hazard class 9 placard,3,230,10,147,1754,8.38084378563284,590.46,0.5853968626945772,0.6943372380667711,"Strong in paid, not organic → invest in organic"
dangerous good software,3,20,12,393,19313,2.034898772847305,715.0,0.527687647217043,0.7146985881548725,"Strong in paid, not organic → invest in organic"
49 cfr book,3,110,9,360,3692,9.750812567713975,1592.5800000000002,0.560852333511923,0.7451264930423835,"Strong in paid, not organic → invest in organic"
dg software,3,10,6,234,7427,3.150666487141511,1007.33,0.482629246141169,0.6935790758394189,"Strong in paid, not organic → invest in organic"
iata dgr 2022,3,0,0,587,4966,11.820378574305275,3816.52,0.3333333333333333,0.7704644034188965,"Strong in paid, not organic → invest in organic"
how to ship large lithium battery,3,10,0,75,544,13.786764705882351,382.62,0.4066393456327821,0.6733724133357218,"Strong in paid, not organic → invest in organic"
un placard,3,210,17,152,4552,3.339191564147628,452.1,0.604502504034594,0.6726796274375011,"Strong in paid, not organic → invest in organic"
iata book,3,110,14,394,25618,1.5379811070341167,2430.46,0.5703997568632541,0.7060218458526968,"Strong in paid, not organic → invest in organic"
haz mat label,4,1000,4,178,2244,7.932263814616755,601.9200000000001,0.6067843330249487,0.7031711789428534,"Strong in paid, not organic → invest in organic"
iata book,4,70,14,408,38611,1.0566936883271605,2431.13,0.5391952441661787,0.7045758957932592,"Strong in paid, not organic → invest in organic"
dangerous good software,4,10,12,366,22113,1.655134988468322,856.69,0.5079196200463504,0.7074740499609166,"Strong in paid, not organic → invest in organic"
iata dangerous good regulation,4,320,9,406,3692,10.996749729144096,1982.1,0.5810352910252083,0.7542257344193639,"Strong in paid, not organic → invest in organic"
how to transport large lithium battery,4,0,0,196,2373,8.259587020648967,1004.62,0.312280701754386,0.7085455336423893,"Strong in paid, not organic → invest in organic"
iata dgr 2022,4,0,0,646,5564,11.610352264557871,4273.21,0.3333333333333333,0.7733643492136003,"Strong in paid, not organic → invest in organic"
labelmastercom,4,50,8,223,676,32.98816568047337,370.21,0.5397902619330015,0.761746583770449,"Strong in paid, not organic → invest in organic"
labelmaster placard,4,70,18,3108,7031,44.20423837291992,3820.59,0.5804316744582182,0.9055458780047558,"Strong in paid, not organic → invest in organic"
dg software,4,10,7,299,10220,2.9256360078277885,1232.94,0.4880845691670696,0.7048538723448025,"Strong in paid, not organic → invest in organic"
dgr iata,4,170,26,242,14828,1.6320474777448073,961.67,0.6076240728376954,0.6843434249957145,"Strong in paid, not organic → invest in organic"
training for iata,4,0,0,149,3844,3.8761706555671176,862.8,0.3333333333333333,0.6738678473429919,"Strong in paid, not organic → invest in organic"
this label,4,10,0,234,44631,0.5242992538818311,268.93,0.4066393456327821,0.6796514065585695,"Strong in paid, not organic → invest in organic"
49 cfr book,4,110,13,400,4398,9.095043201455209,1890.79,0.5745986496697827,0.7479389061039725,"Strong in paid, not organic → invest in organic"
49 cfr book,5,110,21,1308,9229,14.172716437317154,6553.29,0.5930641565776108,0.8069491367913852,"Strong in paid, not organic → invest in organic"
labelmastercom,5,70,3,220,688,31.97674418604652,410.41,0.5167748665313051,0.7598428013847429,"Strong in paid, not organic → invest in organic"
labelmaster placard,5,110,21,2921,6290,46.43879173290938,4324.360000000001,0.60008170043726,0.901850996534058,"Strong in paid, not organic → invest in organic"
shipping car battery,5,50,1,117,1515,7.722772277227722,564.4399999999999,0.4485177676194949,0.6795517033563181,"Strong in paid, not organic → invest in organic"
dg software,5,20,7,198,5946,3.3299697275479314,724.76,0.5078525963377621,0.6863751182288759,"Strong in paid, not organic → invest in organic"
iata dangerous good regulation,5,320,11,356,3156,11.280101394169836,1860.2000000000005,0.5832207410371747,0.7481711577946657,"Strong in paid, not organic → invest in organic"
how to transport large lithium battery,5,0,0,140,1998,7.007007007007007,635.78,0.3192982456140351,0.6864003673517641,"Strong in paid, not organic → invest in organic"
iata dgr 2022,5,0,0,398,4752,8.375420875420875,2670.48,0.3333333333333333,0.7427902060993553,"Strong in paid, not organic → invest in organic"
iata book,5,90,17,441,20630,2.1376635967038293,2786.23,0.5717748066119223,0.7156792670179021,"Strong in paid, not organic → invest in organic"
49 cfr book,6,140,18,1353,7952,17.014587525150908,7415.79,0.5943882700727188,0.8086998070542897,"Strong in paid, not organic → invest in organic"
labelmastercom,6,50,4,170,496,34.274193548387096,327.02,0.5157766868153181,0.7483158776560846,"Strong in paid, not organic → invest in organic"
labelmaster placard,6,70,8,2681,5309,50.49915238274628,3809.99,0.5499048009532657,0.9020746700642654,"Strong in paid, not organic → invest in organic"
iata book,6,90,26,364,2765,13.164556962025316,2798.4700000000003,0.5883397738229026,0.7512534973535517,"Strong in paid, not organic → invest in organic"
how to ship large lithium battery,6,10,0,93,880,10.568181818181818,450.35,0.3908498719485716,0.6766388351030166,"Strong in paid, not organic → invest in organic"
un placard,6,210,22,175,2735,6.39853747714808,408.16,0.6145167947806872,0.6966639878568632,"Strong in paid, not organic → invest in organic"
iata dangerous good regulation,6,320,12,305,2823,10.804109103790294,1825.24,0.5899995966352997,0.7384765453804988,"Strong in paid, not organic → invest in organic"
iata dgr 2022,6,0,0,157,1917,8.189880020865935,1006.57,0.3333333333333333,0.6961525780191852,"Strong in paid, not organic → invest in organic"
dg software,6,10,8,63,382,16.49214659685864,311.63,0.4928965051009927,0.6698108426427268,"Strong in paid, not organic → invest in organic"
dgr iata,6,260,37,243,1889,12.863949179460032,1242.91,0.5888990930561504,0.7331207138514465,"Strong in paid, not organic → invest in organic"
iata dangerous good regulation,7,390,13,263,2821,9.322935129386742,1525.47,0.6008122357974323,0.726770523932875,"Strong in paid, not organic → invest in organic"
iata dangerous good,7,260,22,592,5998,9.869956652217406,3910.42,0.592947913806063,0.7650455410631819,"Strong in paid, not organic → invest in organic"
iata book,7,140,20,462,3111,14.850530376084862,3375.05,0.591459559447311,0.7661575089709376,"Strong in paid, not organic → invest in organic"
49 cfr book,7,170,16,886,6281,14.1060340710078,4516.26,0.5922327142289031,0.7957965600438609,"Strong in paid, not organic → invest in organic"
hazardous material training,7,760,15,213,5329,3.996997560517921,913.11,0.56973333358577,0.6940081185252779,"Strong in paid, not organic → invest in organic"
labelmastercom,7,50,2,219,533,41.08818011257036,431.83,0.4949072962339838,0.7681150723403161,"Strong in paid, not organic → invest in organic"
iata dgr 2022,7,0,0,201,2070,9.710144927536232,1336.45,0.3333333333333333,0.7138078468386237,"Strong in paid, not organic → invest in organic"
labelmaster placard,7,30,7,2825,5959,47.407283101191474,4076.24,0.5197589165621307,0.9017285414979718,"Strong in paid, not organic → invest in organic"
un 3481 label,7,0,0,257,2062,12.463627546071775,1187.39,0.3333333333333333,0.7353517276745439,"Strong in paid, not organic → invest in organic"
emergency response guide book,7,20,0,148,1744,8.486238532110093,251.94,0.4158810570140011,0.6959451126479999,"Strong in paid, not organic → invest in organic"
dangerous good training,7,390,54,234,5997,3.901950975487744,1414.28,0.5735542057607327,0.697205218930257,"Strong in paid, not organic → invest in organic"
iata book,8,110,12,448,3613,12.399667866039303,3521.98,0.561044709297453,0.7582354447790749,"Strong in paid, not organic → invest in organic"
iata dangerous good regulation,8,390,10,394,3836,10.2711157455683,2027.14,0.5909597442172231,0.750358257514928,"Strong in paid, not organic → invest in organic"
iata dangerous good,8,310,4,601,6274,9.579215811284666,4351.21,0.5055509452409939,0.7632161792665182,"Strong in paid, not organic → invest in organic"
dgr iata,8,320,21,211,2295,9.193899782135077,776.38,0.5974576404066856,0.7163615003155921,"Strong in paid, not organic → invest in organic"
shipping ev battery,8,30,1,176,2851,6.1732725359522975,701.33,0.444409469294828,0.6952290535199664,"Strong in paid, not organic → invest in organic"
iata dgr 2022,8,0,0,244,2174,11.223551057957682,1688.68,0.3333333333333333,0.7278260337617913,"Strong in paid, not organic → invest in organic"
