canonical_keyword_x,TimePeriod,Search Volume,Impressions_SEO,Paid_Clicks,Paid_Impressions,Paid_CTR,Paid_Cost,Organic_Score,Paid_Score,Business_Label_Final
emergency response guide book,2,20,4,27,656,4.115853658536586,41.69,0.46408955364523,0.5845403163996667,Weak moderate – deprioritize but monitor
how to ship a car battery,2,30,0,16,410,3.902439024390244,86.44,0.4383136930278433,0.5551882523013283,Weak moderate – deprioritize but monitor
dangerous good declaration software,2,140,35,0,44,0.0,0.0,0.6099710777543673,0.3184542728225911,Weak moderate – deprioritize but monitor
oxidizer placard,2,210,18,2,78,2.564102564102564,2.51,0.6137289229111583,0.4428542549757396,Weak moderate – deprioritize but monitor
oxidizer label,2,140,3,7,174,4.022988505747127,28.98,0.5377490060054549,0.5129058774380915,Weak moderate – deprioritize but monitor
cargo container seal,2,10,8,4,92,4.3478260869565215,9.85,0.4858789612413436,0.4868795715324121,Weak moderate – deprioritize but monitor
flammable gas label,2,10,1,23,694,3.314121037463977,94.92,0.4103959406120476,0.5708506119630439,Weak moderate – deprioritize but monitor
organic peroxide label,2,20,2,2,21,9.523809523809524,8.27,0.450237706923545,0.4766677365315391,Weak moderate – deprioritize but monitor
dangerous good shipping software,2,10,7,8,69,11.594202898550725,35.52,0.484575797237245,0.5493705124646704,Weak moderate – deprioritize but monitor
this label,2,10,0,18,2171,0.8291110087517274,25.26,0.4066393456327821,0.5404895581729634,Weak moderate – deprioritize but monitor
training for iata,2,0,0,79,2769,2.853015529071867,455.26,0.3333333333333333,0.6336446471614959,Weak moderate – deprioritize but monitor
dgi training,2,590,1,10,704,1.4204545454545454,50.57,0.5567497119598966,0.5129079913000434,Weak moderate – deprioritize but monitor
dg training course,2,10,2,9,234,3.8461538461538463,59.75,0.4164345920335541,0.5247015137317245,Weak moderate – deprioritize but monitor
shipping ev battery,2,20,7,4,97,4.123711340206185,13.21,0.5101917776254815,0.4855797112271484,Weak moderate – deprioritize but monitor
cylinder label,2,70,3,25,689,3.62844702467344,78.47,0.4290555682856911,0.5773762144890346,Weak moderate – deprioritize but monitor
2016 erg,2,90,11,2,54,3.7037037037037033,4.38,0.5324028218570825,0.4506446256768384,Weak moderate – deprioritize but monitor
gas hazard label,2,140,5,9,183,4.918032786885246,21.47,0.5016823942690668,0.5308190280969628,Weak moderate – deprioritize but monitor
arrow label,2,170,0,5,315,1.5873015873015872,8.71,0.4905190353897655,0.4788458366673775,Weak moderate – deprioritize but monitor
iata dgr 59th,2,0,1,4,9,44.44444444444444,21.72,0.3581425598915461,0.561199139005575,Weak moderate – deprioritize but monitor
hazardous material transportation training,2,50,0,25,771,3.24254215304799,104.23,0.4535331024647909,0.5748321862642899,Weak moderate – deprioritize but monitor
imdg dangerous good,2,40,3,39,645,6.046511627906977,189.55,0.3420933649147264,0.6138689567053883,Weak moderate – deprioritize but monitor
imdg training,2,90,15,3,34,8.823529411764707,9.39,0.5213488355902799,0.4927161753553085,Weak moderate – deprioritize but monitor
hazardous material shipping label,2,120,18,3,154,1.948051948051948,6.93,0.5908814376878502,0.4568084239086586,Weak moderate – deprioritize but monitor
consumer commodity label,3,280,7,6,131,4.580152671755725,22.67,0.5362714008202969,0.5082644014674385,Weak moderate – deprioritize but monitor
cylinder label,3,50,2,25,695,3.597122302158273,84.53,0.3791178225497734,0.5771651331777288,Weak moderate – deprioritize but monitor
dangerous good shipping software,3,10,7,9,93,9.67741935483871,54.82,0.484575797237245,0.5498091190612657,Weak moderate – deprioritize but monitor
imdg dangerous good,3,30,2,34,572,5.944055944055944,157.53,0.4586352552180889,0.6060682565559175,Weak moderate – deprioritize but monitor
hazardous material transportation training,3,30,0,23,632,3.6392405063291138,84.82,0.4383136930278433,0.5729523471001713,Weak moderate – deprioritize but monitor
dangerous good training online,3,40,14,3,107,2.803738317757009,8.75,0.4674377191460913,0.4632391520531742,Weak moderate – deprioritize but monitor
ship large lithium battery,3,0,0,93,6254,1.4870482890949792,235.2,0.3333333333333333,0.6328303596161245,Weak moderate – deprioritize but monitor
dg training course,3,10,2,13,360,3.611111111111111,85.16,0.4094170481739049,0.5424190474994631,Weak moderate – deprioritize but monitor
training for iata,3,0,0,110,3256,3.3783783783783785,674.52,0.3333333333333333,0.6546763016848043,Weak moderate – deprioritize but monitor
this label,3,10,0,75,13847,0.5416335668375821,96.45,0.4066393456327821,0.6177562233294629,Weak moderate – deprioritize but monitor
shipping ev battery,3,10,3,23,378,6.084656084656085,61.65,0.457427389391313,0.5859081341794792,Weak moderate – deprioritize but monitor
dgi training,3,480,0,22,798,2.756892230576441,80.24,0.3589777633676634,0.5647028084809258,Weak moderate – deprioritize but monitor
how to ship a car battery,3,40,0,9,677,1.329394387001477,40.5,0.4468608767105816,0.5067801935556545,Weak moderate – deprioritize but monitor
oxidizer label,3,90,3,2,205,0.975609756097561,8.73,0.5033093298422754,0.4310211190098329,Weak moderate – deprioritize but monitor
organic peroxide label,3,10,4,5,38,13.157894736842104,21.16,0.4583566141938356,0.5297599848949925,Weak moderate – deprioritize but monitor
emergency response guide book,3,10,1,66,1038,6.358381502890173,111.07,0.4103959406120476,0.6440020089285133,Weak moderate – deprioritize but monitor
flammable gas label,3,10,4,27,609,4.433497536945813,112.58,0.4337952106850637,0.5861675662407593,Weak moderate – deprioritize but monitor
arrow label,3,140,0,2,584,0.3424657534246575,2.72,0.4846217809592048,0.433816496628165,Weak moderate – deprioritize but monitor
cargo container seal,3,10,2,9,208,4.326923076923077,21.18,0.4234521358932032,0.527611664137915,Weak moderate – deprioritize but monitor
imdg training,4,50,13,2,176,1.1363636363636365,4.75,0.5157357383033204,0.4319745251469062,Weak moderate – deprioritize but monitor
flammable gas label,4,10,2,6,133,4.511278195488721,20.7,0.4164345920335541,0.5078907028892943,Weak moderate – deprioritize but monitor
imdg dangerous good,4,30,2,35,795,4.40251572327044,172.73999999999998,0.4551264832882644,0.5998389710932714,Weak moderate – deprioritize but monitor
hazardous material transportation training,4,10,0,28,951,2.944269190325973,101.14,0.4066393456327821,0.5789187779153661,Weak moderate – deprioritize but monitor
packaging for large lithium battery,4,0,0,52,1933,2.690118986032074,215.44,0.3298245614035087,0.6103404716993218,Weak moderate – deprioritize but monitor
emergency response guide book,4,10,3,81,2520,3.214285714285714,124.0,0.4281876233106112,0.6383112345484565,Weak moderate – deprioritize but monitor
iata training,4,0,0,37,1158,3.1951640759930915,128.58,0.3333333333333333,0.5955968959444224,Weak moderate – deprioritize but monitor
oxidizer label,4,90,4,13,375,3.4666666666666663,47.12,0.5089169172167279,0.5415984690214359,Weak moderate – deprioritize but monitor
