canonical_keyword_x,TimePeriod,Search Volume,Impressions_SEO,Paid_Clicks,Paid_Impressions,Paid_CTR,Paid_Cost,Organic_Score,Paid_Score,Business_Label_Final
dangerous good training online,2,50,10,2,57,3.508771929824561,13.89,0.4403861706880234,0.4493779786936756,Weak very low – drop or archive
packaging for large lithium battery,2,0,0,15,375,4.0,65.32000000000001,0.3333333333333333,0.552399048668615,Weak very low – drop or archive
high security seal,2,50,9,1,183,0.546448087431694,0.8,0.4388315274086185,0.4012142080274357,Weak very low – drop or archive
online hazardous material training,2,20,5,0,68,0.0,0.0,0.432941670323863,0.3292592310155513,Weak very low – drop or archive
bolt seal,2,880,4,11,981,1.1213047910295617,36.43,0.2835822600826733,0.5158381448541384,Weak very low – drop or archive
ship large lithium battery,2,0,0,15,255,5.88235294117647,52.33,0.3333333333333333,0.5622336301121461,Weak very low – drop or archive
iata dgr 63rd edition,2,0,1,6,13,46.15384615384615,35.77,0.1791951914704934,0.5818916496927761,Weak very low – drop or archive
iata training,2,0,0,15,770,1.948051948051948,52.03,0.3333333333333333,0.5383110415094796,Weak very low – drop or archive
imdg training online,2,10,0,4,130,3.076923076923077,10.76,0.4066393456327821,0.4789610357232434,Weak very low – drop or archive
battery recall ship,2,0,0,8,337,2.373887240356084,45.45,0.3333333333333333,0.508682120066653,Weak very low – drop or archive
2012 erg,2,0,0,0,6,0.0,0.0,0.3333333333333333,0.2714180515831413,Weak very low – drop or archive
2012 erg,3,0,0,0,26,0.0,0.0,0.3333333333333333,0.3055415887815733,Weak very low – drop or archive
imdg training,3,70,6,1,59,1.694915254237288,0.78,0.4870059630460734,0.4068173694098425,Weak very low – drop or archive
imdg training online,3,10,0,3,181,1.6574585635359116,11.69,0.4066393456327821,0.4545163156835964,Weak very low – drop or archive
iata training,3,0,0,22,1037,2.1215043394406945,78.99000000000001,0.3333333333333333,0.5600024541036766,Weak very low – drop or archive
online hazardous material training,3,40,1,2,120,1.6666666666666667,7.71,0.3558806295845838,0.4358974817799436,Weak very low – drop or archive
packaging for large lithium battery,3,0,0,19,1495,1.2709030100334449,74.18,0.3333333333333333,0.545678951979849,Weak very low – drop or archive
how to transport large lithium battery,3,0,0,14,284,4.929577464788732,63.89,0.3333333333333333,0.5539031204889537,Weak very low – drop or archive
battery recall ship,3,0,0,5,2017,0.2478929102627665,11.07,0.3333333333333333,0.4811645878619204,Weak very low – drop or archive
iata dgr 63rd edition,3,10,0,2,199,1.0050251256281406,13.62,0.3013761877380453,0.4311647054861012,Weak very low – drop or archive
iata dgr 59th,3,10,0,6,237,2.5316455696202533,16.76,0.366873263773133,0.495234124669994,Weak very low – drop or archive
high security seal,3,40,5,5,444,1.1261261261261262,28.770000000000003,0.411289911073075,0.475456948149197,Weak very low – drop or archive
iata dgr 63rd edition,4,0,1,3,269,1.1152416356877324,15.98,0.3370899283125987,0.4505350533601331,Weak very low – drop or archive
imdg training online,4,10,0,6,440,1.3636363636363635,19.99,0.3399726789661155,0.4862857149283969,Weak very low – drop or archive
dangerous good training online,4,30,9,1,87,1.1494252873563218,6.65,0.4411559776207938,0.4026677716804638,Weak very low – drop or archive
ship ev battery,4,0,0,10,495,2.0202020202020203,26.45,0.1122807017543859,0.5176027787244393,Weak very low – drop or archive
packaging for electric vehicle battery,4,0,0,7,167,4.191616766467066,23.26,0.0105263157894736,0.5139053277414269,Weak very low – drop or archive
electric vehicle battery shipping,4,0,0,9,85,10.588235294117649,38.93,0.2035087719298245,0.5526008780693873,Weak very low – drop or archive
iata dgr 59th,4,0,0,0,168,0.0,0.0,0.3286549707614035,0.3519031259969061,Weak very low – drop or archive
online hazardous material training,4,20,2,1,864,0.1157407407407407,1.16,0.4151499876252993,0.4203963507412011,Weak very low – drop or archive
how to ship a car battery,4,20,0,12,720,1.6666666666666667,50.650000000000006,0.3082787178210187,0.5243411485414906,Weak very low – drop or archive
hazmat shipping software,4,10,2,3,236,1.2711864406779665,10.47,0.4480135394019751,0.4515988918367282,Weak very low – drop or archive
battery recall ship,4,0,0,17,515,3.300970873786408,66.48,0.2853801169473684,0.5546859154721676,Weak very low – drop or archive
electric vehicle battery shipping,5,0,0,11,94,11.702127659574469,42.02,0.2245614035087719,0.5661161927377713,Weak very low – drop or archive
online hazardous material training,5,10,3,3,169,1.7751479289940828,8.21,0.3966086759421901,0.4554479932407375,Weak very low – drop or archive
packaging for ev battery,5,0,0,10,329,3.0395136778115504,27.79,0.0631578947368421,0.5250639398367244,Weak very low – drop or archive
packaging for electric vehicle battery,5,0,0,13,364,3.571428571428571,45.4,0.3333333333333333,0.5422684457620081,Weak very low – drop or archive
battery recall ship,5,0,4,12,244,4.918032786885246,42.42,0.3370973855084219,0.5457759458383709,Weak very low – drop or archive
flammable gas label,5,10,2,6,316,1.89873417721519,21.16,0.4023995043142558,0.4904041548373332,Weak very low – drop or archive
2012 erg,5,0,0,1,476,0.2100840336134453,0.76,0.3333333333333333,0.4103102203350932,Weak very low – drop or archive
shipper for large battery,5,0,0,4,103,3.883495145631068,11.04,0.3298245614035087,0.4841538003975012,Weak very low – drop or archive
shipping packaging for large battery,5,0,0,5,509,0.9823182711198428,16.65,0.3298245614035087,0.4746549040340492,Weak very low – drop or archive
dg training course,5,10,1,9,195,4.615384615384616,59.83,0.3788169932436265,0.5291140797401302,Weak very low – drop or archive
iata dgr 59th,5,0,0,2,44,4.545454545454546,4.97,0.3274853801157895,0.4556276691123138,Weak very low – drop or archive
iata dgr 63rd edition,5,0,2,3,52,5.769230769230769,16.0,0.360672439383228,0.4804394863487156,Weak very low – drop or archive
return recalled battery,5,0,1,0,56,0.0,0.0,0.1020022090143531,0.3244297240528606,Weak very low – drop or archive
