canonical_keyword_x,TimePeriod,Search Volume,Impressions_SEO,Paid_Clicks,Paid_Impressions,Paid_CTR,Paid_Cost,Organic_Score,Paid_Score,Business_Label_Final
keyword_1,2,20,10,103,5201,1.980388386848683,199.28,0.5208627802196898,0.6423102517029051,Weak near thresholds – small optimizations
keyword_2,2,60,15,38,1061,3.581526861451461,236.46,0.4898226362578908,0.5992677142547846,Weak near thresholds – small optimizations
keyword_3,2,210,31,69,2042,3.3790401567091086,397.87,0.5592366367641468,0.6299595804468948,Weak near thresholds – small optimizations
keyword_4,2,140,14,36,1341,2.684563758389262,49.33,0.588239559078925,0.5907820885427054,Weak near thresholds – small optimizations
keyword_5,2,50,6,16,319,5.015673981191222,55.58,0.5260142310433532,0.5614397088127372,Weak near thresholds – small optimizations
keyword_6,2,280,10,13,159,8.176100628930817,52.91,0.6001587776846806,0.5639681381244515,Weak near thresholds – small optimizations
keyword_7,2,50,15,57,871,6.544202066590127,356.96000000000004,0.5211910613292209,0.636202515197979,Weak near thresholds – small optimizations
keyword_8,2,30,9,12,188,6.382978723404255,46.27,0.5288752758664078,0.5527178102460788,Weak near thresholds – small optimizations
keyword_9,2,50,10,82,2674,3.066566940912491,290.96,0.5444797379511813,0.6375687278222758,Weak near thresholds – small optimizations
keyword_10,2,880,40,78,7385,1.056194989844279,200.53,0.5765625972283269,0.6203481964348835,Weak near thresholds – small optimizations
keyword_11,2,330,3,13,114,11.403508771929824,49.83,0.5217317494034779,0.5740388960460845,Weak near thresholds – small optimizations
keyword_12,2,100,16,54,1196,4.51505016722408,339.03,0.5112234959421463,0.623543621096875,Weak near thresholds – small optimizations
keyword_13,2,90,0,49,945,5.185185185185185,286.42999999999995,0.4712347363749727,0.6219111915724239,Weak near thresholds – small optimizations
keyword_14,2,40,10,45,410,10.975609756097562,190.62,0.5395618981618843,0.6389732609473509,Weak near thresholds – small optimizations
keyword_15,2,650,9,113,4829,2.3400289915096293,555.61,0.4785909193365492,0.6492013744075001,Weak near thresholds – small optimizations
keyword_16,2,30,6,23,189,12.16931216931217,115.77,0.4932509619572827,0.6061914147604126,Weak near thresholds – small optimizations
keyword_17,2,30,5,18,214,8.411214953271028,75.17,0.5080058852850736,0.5819724432309764,Weak near thresholds – small optimizations
